id_son,hhid,id_daughter,hgc,byear_dad,byear_mom,age_firstSurvey,useDad,survey,CASEID,byear,share_married,women,surv79,dad_age_inc1,mom_age_inc1,dad_age_inc,mom_age_inc,mom_age_at_birth,dad_age_at_birth,mom_outOfRange,dad_outOfRange,linkDad,linkMom,linkBoth,parent1,zero_parent1,ms_parent1,parent2,zero_parent2,ms_parent2,parent3,zero_parent3,ms_parent3,nparent,miss0,faminc0,lfaminc0,loginc66,loginc79,kid_age_parentInc,kid1,kid2,kid3,zero_kid1,ms_kid1,zero_kid2,ms_kid2,zero_kid3,ms_kid3,nkid,miss1,miss1_early,miss1_prime,faminc1,lfaminc1,faminc1_early,lfaminc1_early,faminc1_prime,lfaminc1_prime,up0,owninc,lown,miss1_own,miss_spouse,spouse_inc,spouse_age,weight,weight_incFirst,weight_incLast,weight_incAvg,all_parent,all_kid,married,n
,4863,,15,,,15,1,1979,4865,1964,100,1,1,43,41,44,42,27,29,0,0,1,1,1,95536.13,0,0,78363.8,0,0,86302.39,0,0,3,0,86734.11,11.3706,0,11.3706,15,85806.64,85137.88,79023.82,0,0,0,0,0,0,3,0,0,0,83322.78,11.33048,57236.67,10.95495,83322.78,11.33048,0,21766.67,9.988135,0,0,54840.74,41,5152,6178,6222,,1,1,100,1
,633,,,,,20,,1979,634,1959,,1,1,62,53,63,54,34,43,1,0,1,0,0,,0,1,,0,1,,0,1,0,1,,,,,,,,,0,1,0,1,0,1,0,1,1,1,,,,,,,,,,1,0,,,5223,,,,0,0,,1
,9862,,14,,,17,1,1979,9862,1962,100,1,1,40,36,41,37,20,24,0,1,0,1,0,76283.61,0,0,42447.06,0,0,,0,1,2,0,59365.34,10.99147,0,10.99147,16.5,76302.32,60536.77,118942.3,0,0,0,0,0,0,3,0,0,0,85260.47,11.35347,49781.44,10.8154,85260.47,11.35347,1,21500,9.975808,0,0,67239.44,46.33333,587,743,662,,0,1,100,1
,3207,,12,,,17,,1979,3209,1962,100,1,1,44,44,45,45,28,28,0,0,1,1,1,,0,1,,0,1,,0,1,0,1,,,,,,56689.95,51520.65,,0,0,0,0,0,1,2,0,0,0,54105.3,10.89869,67749.65,11.12357,54105.3,10.89869,0,15000,9.615806,0,0,32959.72,38,5933,7608,7893,,0,0,100,1
,7138,,12,,,22,,1979,7138,1957,0,1,1,,55,,56,34,,1,1,0,0,0,,0,1,,0,1,,0,1,0,1,,,,,,2007.956,772.8098,0,0,0,0,0,1,0,2,0,0,0,926.9218,6.831869,14480.74,9.580575,926.9218,6.831869,0,,,1,0,,,1634,2031,2223,,0,0,0,1
,3486,,14,,,21,,1979,3486,1958,0,1,1,53,45,54,46,25,33,0,0,1,1,1,101711.5,0,0,81628.96,0,0,,0,1,2,0,91670.22,11.42595,0,11.42595,20.5,,85009.08,,0,1,0,0,0,1,1,0,0,0,85009.08,11.35051,90558.09,11.41375,85009.08,11.35051,0,66000,11.09741,0,0,,,5583,7147,7147,,0,0,0,1
,11800,,12,,,21,,1979,11800,1958,100,1,1,,45,,46,25,,0,1,0,1,0,,0,1,,0,1,21863.27,0,0,1,0,21863.27,9.992563,0,9.992563,22,174022.8,219091.6,305851.7,0,0,0,0,0,0,3,0,0,0,232988.7,12.35875,192639.8,12.16858,232988.7,12.35875,1,66666.66,11.10746,0,0,122468.9,45,5554,6745,6967,,0,1,100,1
,12278,,12,,,17,1,1979,12278,1962,0,1,1,43,43,44,44,27,27,0,0,1,1,1,22663.5,0,0,,0,1,,0,1,1,0,22663.5,10.02851,0,10.02851,16,42568.66,46368.59,48547.89,0,0,0,0,0,0,3,0,0,0,45828.38,10.73266,60386.93,11.00853,45828.38,10.73266,1,34666.67,10.45353,0,0,,,628,795,788,,0,1,0,1
,5913,,11,,,22,,1979,5913,1957,100,1,1,,,,,,,1,1,0,0,0,,0,1,,0,1,,0,1,0,1,,,,,,60238.67,,80104.01,0,0,0,1,0,0,2,0,0,0,70171.34,11.1587,22557.56,10.02383,70171.34,11.1587,0,33000,10.40426,0,0,28245.23,40,2088,2595,2841,,0,0,100,1
,3543,,12,,,16,,1979,3544,1963,0,1,1,,,,,,,1,1,0,0,0,72651.05,0,0,,0,1,,0,1,1,0,72651.05,11.19342,0,11.19342,15,9905.915,11076.94,21880.53,0,0,0,0,0,0,3,0,0,0,14287.8,9.567161,7763.916,8.957242,14287.8,9.567161,0,5400,8.594154,0,0,,,1644,2078,1988,,0,1,0,1
