survey,id,women,wt_nls_parent,wt_nls_kid,wt_nls_avg
1979,198,0,2797.757,5791.296,4294.526
1966,201,1,359854.6,582393.2,471123.9
1966,202,1,424670.4,808907.6,616789
1966,204,1,188667.8,154648.3,171658.1
1966,205,1,104077.3,90039.72,97058.49
1966,206,1,119784.9,70271.48,95028.2
1966,207,1,150728.4,245057.9,197893.2
1979,207,0,4265.97,5313.848,4789.909
1966,208,1,150728.4,172346.2,161537.3
1966,210,1,123156.7,99883.68,111520.2
1979,210,0,2957.585,4612.737,3785.161
1966,211,0,437255.7,602315.6,519785.6
1979,211,1,4482.558,6874.068,5678.313
1979,212,0,1107.915,5828.093,3468.004
1979,213,0,695.7334,4377.837,2536.785
1966,214,1,680517.8,790777.6,735647.6
1979,214,0,839.3253,3393.874,2116.6
1966,217,0,302174.5,482682.1,392428.3
1966,218,0,255824.1,288718.5,272271.3
1966,218,1,426018,688065.4,557041.8
1966,219,1,539239.6,878829.8,709034.8
1966,220,1,462676,379532.8,421104.4
1979,220,1,5082.689,6158.246,5620.467
1979,221,1,3183.498,2080.047,2631.772
1966,222,1,1577113,614009.5,1095562
1979,222,0,3857.49,1986.023,2921.756
1966,223,0,321684.7,484420.3,403052.5
1979,223,0,2490.076,2620.567,2555.322
1966,225,0,304968.9,351105.1,328037
1979,225,0,8081.148,2192.588,5136.868
1966,226,0,615181.8,353885.9,484533.8
1966,226,1,565226.1,403615.4,484420.8
1979,226,0,7040.076,2039.6,4539.838
1979,230,0,5333.092,5953.865,5643.479
1966,232,0,394972.6,402975.3,398974
1966,232,1,178662.7,353601,266131.8
1979,232,0,16425.14,5989.714,11207.43
1966,233,0,383960.8,443241.4,413601.1
1966,233,1,238100.2,543348.8,390724.5
1979,233,0,20829.03,7748.655,14288.84
1966,235,1,130837.9,776783.4,453810.7
1979,235,0,2169.271,6215.777,4192.524
1966,236,1,160928.5,116941.4,138935
1979,236,1,1288.765,3373.158,2330.962
1966,237,1,131008.2,382644,256826.1
1966,239,0,453174.8,462974.8,458074.8
1979,239,1,798.1982,1343.034,1070.616
1966,240,0,431500.3,318356.5,374928.4
1979,240,1,1160.655,904.709,1032.682
1966,242,0,423339.2,515455.4,469397.3
1966,244,1,542626,649370.8,595998.4
1966,245,1,503805.1,372953.6,438379.4
1979,245,1,3765.321,5345.85,4555.585
1979,246,0,4028.234,3633.249,3830.741
1966,247,1,163588.5,209500.6,186544.5
1966,248,0,255007,205866.2,230436.6
1979,248,0,2257.411,1805.932,2031.671
1979,249,1,1813.774,940.4137,1377.094
1966,251,1,198808.4,152451,175629.7
1979,251,0,1988.51,1751.306,1869.908
